speed,acceleration,steering_angel
0.0,1.0,2.0
3.0,4.0,5.0
6.0,7.0,8.0
9.0,10.0,11.0
12.0,13.0,14.0
15.0,16.0,17.0
18.0,19.0,20.0
21.0,22.0,23.0
24.0,25.0,26.0
27.0,28.0,29.0
16.339186,0.35248324,-0.58733183
15.872498,0.39266327,-0.86818355
15.8848095,0.3905855,-1.0428349
15.848518,0.4315676,-1.2642301
12.477825,0.3780174,-1.1547674
11.678442,0.39618573,-1.3635917
14.641565,0.3444556,-1.1327715
15.102637,0.36201403,-1.0348549
15.375323,0.37979448,-1.073852
14.049667,0.44730318,-1.3005143
23.23439,0.036803164,0.0031953952
21.981585,-0.037109114,0.08205073
22.004934,0.14894436,-0.2380134
21.348026,0.112103984,-0.29390895
21.675766,0.034420006,-0.18917103
22.730715,0.087306045,-0.41649902
21.942509,0.20238669,-0.53231215
20.898083,0.124286935,-0.52295125
21.443396,0.09533879,-0.44941634
20.31469,0.0746812,-0.15705802
23.199314,-0.050745822,0.19119443
21.976051,0.025399396,0.16123499
22.738466,0.11248895,-0.24381782
21.90516,0.15009359,-0.47504687
20.32958,0.09486648,-0.36639446
22.375196,0.13778645,-0.3617471
21.313711,0.13375181,-0.44838244
21.115952,0.09474675,-0.3876959
21.942179,0.043262057,-0.17166264
22.314837,0.06604204,-0.19901289
14.280692,0.40588415,-0.61819774
16.261047,0.3606843,-0.97246736
14.341024,0.4078714,-1.2114661
13.836394,0.40876263,-1.3087896
9.004835,0.41984668,-1.5140812
11.085785,0.34539136,-1.4255527
12.86485,0.29698414,-0.92858154
9.967157,0.36857802,-1.5680101
10.785132,0.38683164,-1.5788568
8.969041,0.44382903,-1.7440828
3.8973606,0.27188194,-0.22313704
2.263744,-0.051598288,-1.3176893
-2.49844,0.160909,-2.0436773
-3.652178,0.072386496,-2.1593127
-7.100102,-0.0080223,-2.1851022
-3.7551863,0.07694278,-2.3124597
-5.827851,-0.00367803,-2.3479204
-4.946181,-0.009952805,-2.3325353
-4.242766,0.08581354,-2.2838721
-5.754393,-0.00859148,-2.3701334
7.1694674,0.43873772,-0.6839091
4.7009797,0.1820746,-1.7995042
-0.26989397,0.26605353,-2.0418732
-2.2697985,0.14885841,-2.0853605
-4.8668733,0.053127356,-2.1953495
-3.1483576,0.11890286,-2.156373
-3.8089945,0.108220205,-2.2070029
-5.116328,0.0057017445,-2.2025113
-5.0525575,0.0012107876,-2.3632667
-4.737351,0.020928869,-2.2499151
22.306852,0.16884124,-0.23152567
20.8216,0.06465284,-0.18177213
21.431095,0.120765656,-0.2617677
21.285538,0.09600219,-0.21956863
20.954853,0.11471331,-0.12600417
21.405005,0.055352412,-0.09471107
19.271181,0.16282749,-0.2823457
21.178492,0.1464617,-0.53548515
21.164312,0.12540896,-0.45633948
21.532833,0.18707173,-0.5819761
17.283495,0.31234685,-0.48063213
17.047821,0.19460012,-0.27656806
